# ============================================================================
# TASK 3 — PERSON PRESENT OR ABSENT
# 6 activities × 6 presence levels = 36 images
# Activities: stirring pot, chopping, wok frying, plating, pouring, pan searing
# Presence: 1_active → 2_both_hands → 3_one_hand → 4_ARM_EDGE → 5_JUST_LEFT → 6_ABSENT
# Camera: top-down overhead, consistent framing
# ============================================================================

# FORMAT: {activity}/{presence} | {prompt}

# ── STIRRING POT ───────────────────────────────────────────────────────────

stirring/1_active      | Top-down overhead photo of pot on gas stove burner, both human hands visible holding wooden spoon stirring soup, forearms and wrists clearly in frame, person actively cooking, fully present, realistic kitchen, sharp detail, natural lighting
stirring/2_both_hands  | Top-down overhead photo of pot on gas stove burner, two human hands visible resting on pot rim and holding spoon idle, fingers relaxed, person present but pausing, both hands in frame, realistic kitchen, sharp detail, natural lighting
stirring/3_one_hand    | Top-down overhead photo of pot on gas stove burner, one human hand visible resting on spoon handle in pot, only right hand and wrist in frame, other hand out of frame, person partially visible, realistic kitchen, sharp detail, natural lighting
stirring/4_ARM_EDGE    | Top-down overhead photo of pot on gas stove burner, soup simmering inside, very edge of human forearm barely visible at bottom corner of frame, person mostly out of frame, blurry arm edge, almost gone, realistic kitchen, sharp detail, natural lighting
stirring/5_JUST_LEFT   | Top-down overhead photo of pot on gas stove burner, soup simmering inside, wooden spoon left resting in pot at an angle as if just released, no hands visible, no person in frame, person just stepped away, realistic kitchen, sharp detail, natural lighting
stirring/6_ABSENT      | Top-down overhead photo of pot on gas stove burner, soup simmering unattended, wooden spoon resting against pot rim, no hands visible, no person in frame, no sign of recent presence, empty kitchen, stove on with nobody there, realistic kitchen, sharp detail, natural lighting

# ── CHOPPING ───────────────────────────────────────────────────────────────

chopping/1_active      | Top-down overhead photo of wooden cutting board on kitchen counter, both human hands visible holding knife mid-chop through onion, fingers in claw grip, active cutting motion, person clearly present, realistic kitchen, sharp detail, natural lighting
chopping/2_both_hands  | Top-down overhead photo of wooden cutting board on kitchen counter, both human hands resting on cutting board, knife held loosely, chopped vegetables in pile, person pausing between cuts, both hands visible, realistic kitchen, sharp detail, natural lighting
chopping/3_one_hand    | Top-down overhead photo of wooden cutting board on kitchen counter, one human hand visible resting on knife handle on cutting board, other hand out of frame, partially chopped vegetables, person partially visible, realistic kitchen, sharp detail, natural lighting
chopping/4_ARM_EDGE    | Top-down overhead photo of wooden cutting board on kitchen counter, chopped vegetables on board, knife lying on board, very edge of human arm barely visible at frame edge, person almost out of view, realistic kitchen, sharp detail, natural lighting
chopping/5_JUST_LEFT   | Top-down overhead photo of wooden cutting board on kitchen counter, half-chopped onion on board with knife placed down beside it, neat pile of diced vegetables, no hands visible, no person in frame, abandoned mid-task, realistic kitchen, sharp detail, natural lighting
chopping/6_ABSENT      | Top-down overhead photo of wooden cutting board on kitchen counter, clean cutting board with knife stored to the side, some prepped vegetables in bowls, no hands visible, no person in frame, nobody in kitchen, empty scene, realistic kitchen, sharp detail, natural lighting

# ── WOK FRYING ─────────────────────────────────────────────────────────────

wokfry/1_active      | Top-down overhead photo of wok on gas stove burner, both human hands visible holding wok handle and spatula tossing vegetables in wok, active stir-fry motion, person fully present, realistic kitchen, sharp detail, natural lighting
wokfry/2_both_hands  | Top-down overhead photo of wok on gas stove burner, two human hands visible resting on wok rim and holding spatula idle, stir-fry cooking in wok, person present watching food, realistic kitchen, sharp detail, natural lighting
wokfry/3_one_hand    | Top-down overhead photo of wok on gas stove burner, one human hand visible holding spatula over wok, stir-fry sizzling, only one hand and forearm in frame, person partially visible, realistic kitchen, sharp detail, natural lighting
wokfry/4_ARM_EDGE    | Top-down overhead photo of wok on gas stove burner, food sizzling in wok, very edge of human arm barely visible at bottom corner of frame, person mostly out of view, nearly absent, realistic kitchen, sharp detail, natural lighting
wokfry/5_JUST_LEFT   | Top-down overhead photo of wok on gas stove burner, stir-fry sizzling in wok with high flame, spatula left resting on wok rim as if just released, no hands visible, no person in frame, person just walked away, realistic kitchen, sharp detail, natural lighting
wokfry/6_ABSENT      | Top-down overhead photo of wok on gas stove burner, food sitting in wok on active flame, spatula on counter nearby, no hands visible, no person in frame, nobody present, food cooking completely unattended, realistic kitchen, sharp detail, natural lighting

# ── PLATING ────────────────────────────────────────────────────────────────

plating/1_active      | Top-down overhead photo of kitchen counter beside stove, both human hands visible arranging food on a plate, one hand holding tongs placing pasta, other hand steadying plate, person actively plating, realistic kitchen, sharp detail, natural lighting
