# ============================================================================
# TASK 6 — WATER BOILING VS NOT
# 6 vessels × 6 boil states = 36 images
# Vessels: stainless pot, saucepan, stock pot, glass pot, dutch oven, wok
# States: 1_cold → 2_warm → 3_pre_simmer → 4_simmer → 5_BOIL → 6_RAPID_BOIL
# Camera: top-down overhead, consistent framing
# ============================================================================

# FORMAT: {vessel}/{state} | {prompt}

# ── STAINLESS POT ──────────────────────────────────────────────────────────

stainless/1_cold        | Top-down overhead photo of large stainless steel pot on gas stove burner, completely still cold tap water, perfectly flat calm mirror-like surface, no bubbles anywhere, no steam, clear transparent water, burner not yet lit, realistic kitchen, sharp detail, natural lighting
stainless/2_warm        | Top-down overhead photo of large stainless steel pot on gas stove burner, water just starting to warm, tiny micro bubbles clinging to pot bottom and inner sides, surface still flat and calm, very faint warmth, no visible steam, realistic kitchen, sharp detail, natural lighting
stainless/3_pre_simmer  | Top-down overhead photo of large stainless steel pot on gas stove burner, water getting hotter, small bubbles rising from bottom in thin streams, surface starting to show slight movement, faintest wisps of steam, not yet simmering, realistic kitchen, sharp detail, natural lighting
stainless/4_simmer      | Top-down overhead photo of large stainless steel pot on gas stove burner, water at gentle simmer, steady small bubbles rising and breaking at surface, light steam rising, surface gently moving, below full boil, realistic kitchen, sharp detail, natural lighting
stainless/5_BOIL        | Top-down overhead photo of large stainless steel pot on gas stove burner, water at full rolling boil, large bubbles continuously breaking surface, significant white steam rising, turbulent churning water, clearly boiling, realistic kitchen, sharp detail, natural lighting
stainless/6_RAPID_BOIL  | Top-down overhead photo of large stainless steel pot on gas stove burner, water at violent rapid boil, massive bubbles exploding at surface, water splashing from force, dense steam cloud, foamy agitated surface, extreme boiling, realistic kitchen, sharp detail, natural lighting

# ── SAUCEPAN ───────────────────────────────────────────────────────────────

saucepan/1_cold        | Top-down overhead photo of medium saucepan on gas stove burner, cold water with rice grains settled at bottom, perfectly still flat water surface, no bubbles, no steam, calm and clear, burner off, realistic kitchen, sharp detail, natural lighting
saucepan/2_warm        | Top-down overhead photo of medium saucepan on gas stove burner, water with rice just starting to warm, tiny bubbles forming on saucepan walls, water surface still flat, rice still settled, no visible steam, realistic kitchen, sharp detail, natural lighting
saucepan/3_pre_simmer  | Top-down overhead photo of medium saucepan on gas stove burner, water with rice getting warmer, small bubbles rising in streams from bottom, rice grains starting to shift, surface beginning to move, faint steam wisps, realistic kitchen, sharp detail, natural lighting
saucepan/4_simmer      | Top-down overhead photo of medium saucepan on gas stove burner, rice water at gentle simmer, steady bubbles rising, rice grains swirling gently, light steam, starchy cloudiness forming in water, below full boil, realistic kitchen, sharp detail, natural lighting
saucepan/5_BOIL        | Top-down overhead photo of medium saucepan on gas stove burner, rice water at full boil, large bubbles breaking surface, rice grains tumbling in turbulent water, starchy white foam forming, significant steam, clearly boiling, realistic kitchen, sharp detail, natural lighting
saucepan/6_RAPID_BOIL  | Top-down overhead photo of medium saucepan on gas stove burner, rice water at violent rapid boil, massive starchy foam bubbling aggressively, rice churning wildly, white foam nearly at rim, dense steam, extreme boiling, realistic kitchen, sharp detail, natural lighting

# ── STOCK POT ──────────────────────────────────────────────────────────────

stockpot/1_cold        | Top-down overhead photo of large stock pot on gas stove burner, cold water with chicken bones and raw vegetables sitting at bottom, perfectly still clear water, no bubbles, no steam, ingredients settled, burner off, realistic kitchen, sharp detail, natural lighting
stockpot/2_warm        | Top-down overhead photo of large stock pot on gas stove burner, water with bones and vegetables starting to warm, tiny bubbles on pot walls, surface still calm, fat beginning to melt from bones, no visible steam, realistic kitchen, sharp detail, natural lighting
stockpot/3_pre_simmer  | Top-down overhead photo of large stock pot on gas stove burner, stock water getting hotter, small bubbles rising from bone surfaces, thin fat film forming on surface, surface showing slight movement, faint steam wisps, realistic kitchen, sharp detail, natural lighting
stockpot/4_simmer      | Top-down overhead photo of large stock pot on gas stove burner, chicken stock at gentle simmer, small steady bubbles at edges, golden color developing, light scum forming, gentle steam rising, below full boil, realistic kitchen, sharp detail, natural lighting
stockpot/5_BOIL        | Top-down overhead photo of large stock pot on gas stove burner, stock at full rolling boil, large bubbles breaking surface, vegetables tumbling in turbulent liquid, foam and scum churning, significant steam rising, clearly boiling, realistic kitchen, sharp detail, natural lighting
stockpot/6_RAPID_BOIL  | Top-down overhead photo of large stock pot on gas stove burner, stock at violent rapid boil, massive turbulent surface, vegetables and bones bouncing, thick scum foam agitated wildly, heavy dense steam cloud, extreme boiling, realistic kitchen, sharp detail, natural lighting

# ── GLASS POT ──────────────────────────────────────────────────────────────

glass/1_cold        | Top-down overhead photo of clear glass pot on gas stove burner, cold water visible through glass, perfectly still flat surface, no bubbles visible inside or at surface, no steam, completely calm clear water, burner off, realistic kitchen, sharp detail, natural lighting
