# ============================================================================
# TASK 1 — POT BOILING OVER
# 6 vessels × 6 severity levels = 36 images
# Vessels: stainless pot, saucepan, stock pot, dutch oven, black pot, wok
# Severity: 1_safe_low → 2_safe_simmer → 3_rising → 4_AT_RIM → 5_SPILLING → 6_OVERFLOW
# Camera: top-down overhead, consistent framing
# ============================================================================

# FORMAT: {vessel}/{severity} | {prompt}

# ── STAINLESS POT ──────────────────────────────────────────────────────────

stainless/1_safe_low    | Top-down overhead photo of large stainless steel pot on gas stove burner, water filled to halfway, calm still surface, water level well below rim with plenty of clearance, blue flame on low, safe normal cooking, realistic kitchen, sharp detail, natural lighting
stainless/2_safe_simmer | Top-down overhead photo of large stainless steel pot on gas stove burner, water gently simmering with small bubbles at edges, light steam, water level comfortably below rim, no risk of overflow, contained cooking, realistic kitchen, sharp detail, natural lighting
stainless/3_rising      | Top-down overhead photo of large stainless steel pot on gas stove burner, water boiling with foam building up, starchy foam layer rising toward rim, water level getting high, foam approaching top edge, realistic kitchen, sharp detail, natural lighting
stainless/4_AT_RIM      | Top-down overhead photo of large stainless steel pot on gas stove burner, foamy boiling water right at the rim of pot, bubbles touching the very edge, about to spill over, teetering at overflow point, urgent moment, realistic kitchen, sharp detail, natural lighting
stainless/5_SPILLING    | Top-down overhead photo of large stainless steel pot on gas stove burner, foamy water just starting to spill over one side of pot rim, thin stream of liquid running down pot exterior, first drips hitting stovetop, beginning of overflow, realistic kitchen, sharp detail, natural lighting
stainless/6_OVERFLOW    | Top-down overhead photo of large stainless steel pot on gas stove burner, starchy white foamy water massively overflowing pot rim on all sides, liquid cascading down pot exterior, large puddle on stovetop, water dripping onto burner grate, messy flood, realistic kitchen, sharp detail, natural lighting

# ── SAUCEPAN ───────────────────────────────────────────────────────────────

saucepan/1_safe_low    | Top-down overhead photo of medium saucepan on gas stove burner, rice and water filled to one-third, calm flat surface, water level well below rim, plenty of space, low flame, safe start, realistic kitchen, sharp detail, natural lighting
saucepan/2_safe_simmer | Top-down overhead photo of medium saucepan on gas stove burner, rice water gently simmering, tiny bubbles forming, light steam wisps, water level safely below rim, normal rice cooking, realistic kitchen, sharp detail, natural lighting
saucepan/3_rising      | Top-down overhead photo of medium saucepan on gas stove burner, rice water getting starchy and foamy, white foam layer building up rising in saucepan, level climbing toward rim, getting close to top, realistic kitchen, sharp detail, natural lighting
saucepan/4_AT_RIM      | Top-down overhead photo of medium saucepan on gas stove burner, starchy white rice foam right at saucepan rim, bubbles at the very edge about to crest over, critical moment before overflow, realistic kitchen, sharp detail, natural lighting
saucepan/5_SPILLING    | Top-down overhead photo of medium saucepan on gas stove burner, starchy white rice foam just cresting over saucepan rim, foam dripping down handle side, first streaks of white starchy water on stovetop, overflow beginning, realistic kitchen, sharp detail, natural lighting
